origin,index,city_name,street_name,block,lot,community_board
8fei-z6rz,1,BRONX,WALTON AVE,,,
8fei-z6rz,2,BROOKLYN,GATEWAY DR,,,
bty7-2jhb,1,NEW YORK,6 AVE,1264,5,105
bty7-2jhb,2,L.I.C.,OCEAN TER,683,1,502
bty7-2jhb,3,BROOKLYN,3 AVE,6133,56,310
bty7-2jhb,4,BROOKLYN,LOTT ST,5136,58,317
bty7-2jhb,5,BROOKLYN,AVENUE N,7665,4,314
bty7-2jhb,6,BROOKLYN,FRANKLIN AVE,1927,6,303
bty7-2jhb,7,BROOKLYN,BAY 10 ST,6460,310,311
bty7-2jhb,8,LIC,WEST 17 ST,741,10,104
bty7-2jhb,9,BROOKLYN,EAST 26 ST,6832,64,315
bty7-2jhb,10,BROOKLYN,60 ST,5519,34,312
bty7-2jhb,11,BROOKLYN,BAY 34 ST,6861,67,311
bty7-2jhb,12,ROCKAWAY POINT,BEACH 215 ST,16350,400,414
bty7-2jhb,13,LIC,RALPH AVE,1518,1,303
bty7-2jhb,14,MANHATTAN,RIVINGTON ST,411,7501,103
bty7-2jhb,15,BROOKLYN,SHARON ST,2913,26,301
bty7-2jhb,16,JAMAICA,BROADWAY,531,3,102
bty7-2jhb,17,NEW YORK,23 ST,646,64,307
bty7-2jhb,18,JAMAICA,BROADWAY,531,3,102
bty7-2jhb,19,BROOKLYN,FRONT ST,45,25,302
bty7-2jhb,20,BROOKLYN,SNYDER AVE,5108,54,317
bty7-2jhb,21,NEW YORK,EAST 28 ST,857,24,105
bty7-2jhb,22,STATEN ISLAND,MAIN ST,8028,75,503
bty7-2jhb,23,NEW YORK,EAST 28 ST,857,24,105
bty7-2jhb,24,MANHATTAN,WEST 75 ST,1147,8,107
bty7-2jhb,25,NEW HYDE PARK,HYLAN BLVD,3969,1,502
bty7-2jhb,26,BROOKLYN,OCEAN PKWY,7239,1,313
bty7-2jhb,27,NEW YORK,EAST 28 ST,857,24,105
bty7-2jhb,28,LIC,RESERVOIR AVE,3247,70,207
bty7-2jhb,29,NEW YORK,EAST 27 ST,883,14,105
bty7-2jhb,30,BROOKLYN,EAST 12 ST,439,26,103
bty7-2jhb,31,L.I.C.,JEROME AVE,3188,14,205
bty7-2jhb,32,LIC,RESERVOIR AVE,3247,70,207
bty7-2jhb,33,FAR ROCKAWAY,HEALY AVE,15722,41,414
bty7-2jhb,34,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,35,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,36,BROOKLYN,EAST 84 ST,7962,85,318
bty7-2jhb,37,NEW YORK,1 AVE,1338,30,106
bty7-2jhb,38,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,39,BROOKLYN,SCHERMERHORN ST,166,51,302
bty7-2jhb,40,BROOKLYN,GLEN ST,4168,22,305
bty7-2jhb,41,NEW YORK,3 AVE,1329,1,106
bty7-2jhb,42,NEW YORK,7 AVE,803,7502,105
bty7-2jhb,43,NEW YORK,CENTRAL RD,1819,203,111
bty7-2jhb,44,BROOKLYN,AVENUE O,6603,2,311
bty7-2jhb,45,NEW YORK,EAST 75 ST,1409,40,108
bty7-2jhb,46,NEW YORK,10 AVE,1051,7502,104
bty7-2jhb,47,NY,EAST 10 ST,555,1,102
bty7-2jhb,48,NEW YORK,RIVERSIDE DR,1889,40,107
bty7-2jhb,49,NEW YORK,YORK AVE,1462,5,108
bty7-2jhb,50,BROOKLYN,AVENUE L,8244,1,318
bty7-2jhb,51,NEW YORK,5 AVE,1269,41,105
bty7-2jhb,52,BROOKLYN,CLINTON ST,255,25,302
bty7-2jhb,53,JERSEY CITY,WEST ST,16,260,101
bty7-2jhb,54,NEW YORK,3 AVE,1320,46,106
bty7-2jhb,55,NEW YORK,WEST 46 ST,1094,18,104
bty7-2jhb,56,L.I.C.,JEROME AVE,3247,170,207
bty7-2jhb,57,BROOKLYN,54 ST,5677,15,312
bty7-2jhb,58,BRONX,PRATT AVE,4941,30,212
bty7-2jhb,59,LIC NY,EAST 145 ST,2306,54,201
bty7-2jhb,60,ROSLYN,LEXINGTON AVE,1798,77,303
bty7-2jhb,61,BRONX,EAST 149 ST,2335,16,201
bty7-2jhb,62,LAS VEGAS,2 AVE,1326,22,106
bty7-2jhb,63,NEW YORK,GATES AVE,3342,1,304
bty7-2jhb,64,NEW YORK,GATES AVE,3342,1,304
bty7-2jhb,65,MANHATTAN,WEST 75 ST,1147,111,107
bty7-2jhb,66,BRONX,KATONAH AVE,3385,1,212
bty7-2jhb,67,NEW YORK,EAST 31 ST,860,49,105
bty7-2jhb,68,ROSLYN,LEXINGTON AVE,1802,51,303
bty7-2jhb,69,NEW YORK,PALMETTO ST,3342,1,304
bty7-2jhb,70,NEW YORK,WEST 62 ST,1114,7502,107
bty7-2jhb,71,BRONX,DE REIMER AVE,5020,76,212
bty7-2jhb,72,NEW YORK,PALMETTO ST,3351,1,304
bty7-2jhb,73,ROSLYN,LEXINGTON AVE,1798,20,303
bty7-2jhb,74,BROOKLYN,HENDRIX ST,4074,36,305
bty7-2jhb,75,BROOKLYN,WEST 34 ST,784,12,105
bty7-2jhb,76,NEW YORK,ROCKEFELLER PLZ,1266,1,105
bty7-2jhb,77,BROOKLYN,EAST 1 ST,7104,202,315
bty7-2jhb,78,BROOKLYN,EAST 95 ST,8221,61,318
bty7-2jhb,79,BRONX,AMUNDSON AVE,4988,66,212
bty7-2jhb,80,BROOKLYN,TROUTMAN ST,3170,41,304
bty7-2jhb,81,NEW YORK,WEST 75 ST,1167,7501,107
bty7-2jhb,82,NY,WEST 58 ST,1010,61,105
bty7-2jhb,83,NEW YORK,5 AVE,569,5,102
bty7-2jhb,84,BROOKLYN,LORIMER ST,2747,3,301
bty7-2jhb,85,NEW YORK,RIVERSIDE DR,1185,1,107
bty7-2jhb,86,BROOKLYN,SHEEPSHEAD BAY RD,8771,119,315
bty7-2jhb,87,BK,7 AVE,1108,3,307
bty7-2jhb,88,BRONX,CASTLE HILL AVE,3510,158,209
bty7-2jhb,89,NEW YORK,WEST 52 ST,1061,7502,104
bty7-2jhb,90,NEW YORK,WEST 225 ST,2215,42,208
bty7-2jhb,91,NEW YORK,5 AVE,1289,72,105
bty7-2jhb,92,BROOKLYN,SAINT MARKS PLACE,395,30,302
bty7-2jhb,93,NEW YORK,WEST 66 ST,1137,7501,107
bty7-2jhb,94,LONG ISLAND CITY,MERCER ST,524,66,102
bty7-2jhb,95,BK,RALPH AVE,1508,1,303
bty7-2jhb,96,BROOKLYN,WATER ST,35,7501,302
bty7-2jhb,97,BROOKLYN,HILLSIDE AVE,2171,1,112
bty7-2jhb,98,BROOKLYN,HART ST,1596,14,303
bty7-2jhb,99,NEW YORK,9 AVE,713,1,104
bty7-2jhb,100,NEW YORK,PARK AVE,1493,7504,108
bty7-2jhb,101,SECAUCUS,MADISON AVE,1375,49,108
bty7-2jhb,102,BROOKLYN,RALPH AVE,1508,1,303
bty7-2jhb,103,BROOKLYN,SARATOGA AVE,3554,125,316
bty7-2jhb,104,BROOKLYN,WEST 40 ST,789,44,105
bty7-2jhb,105,NEW YORK,5 AVE,573,43,102
bty7-2jhb,106,NEW YORK,EAST 66 ST,1381,1,108
bty7-2jhb,107,NEW YORK,PARK AVE,1501,40,108
bty7-2jhb,108,QUEENS,NORTHERN BLVD,1701,76,403
bty7-2jhb,109,NEW YORK,EAST 74 ST,1449,20,108
bty7-2jhb,110,NEW YORK,EAST 74 ST,1449,20,108
bty7-2jhb,111,NEW YORK,WEST END AVE,1158,7504,107
bty7-2jhb,112,NEW YORK,HOWARD ST,208,19,102
bty7-2jhb,113,NEW YORK,SHERMAN AVE,2222,7,112
dm9a-ab7w,1,RICHMOND HILL,EAST 7 ST,7203,14,315
dm9a-ab7w,2,LONG ISLAND CITY,OCEAN VIEW AVE,8666,610,313
dm9a-ab7w,3,BROOKLYN,WITHERS ST,2742,15,301
dm9a-ab7w,4,RICHMOND HILL,3 ST,461,58,306
dm9a-ab7w,5,BROOKLYN,WALLABOUT ST,2249,37,301
dm9a-ab7w,6,STATEN ISLAND,59 ST,5509,36,312
dm9a-ab7w,7,BROOKLYN,MOFFAT ST,3439,51,304
dm9a-ab7w,8,BROOKLYN,MOFFAT ST,3439,51,304
dm9a-ab7w,9,FLUSHING,PACIFIC ST,1122,45,308
dm9a-ab7w,10,FLUSHING,63 ST,5530,50,311
dm9a-ab7w,11,OZONE PARK,MYRTLE AVE,2075,28,302
dm9a-ab7w,12,BRONX,OVINGTON AVE,5772,34,310
ipu4-2q9a,1,NEW YORK,6 AVE,1264,5,105
ipu4-2q9a,2,L.I.C.,OCEAN TER,683,1,502
ipu4-2q9a,3,BROOKLYN,3 AVE,6133,56,310
ipu4-2q9a,4,BROOKLYN,LOTT ST,5136,58,317
ipu4-2q9a,5,BROOKLYN,AVENUE N,7665,4,314
ipu4-2q9a,6,BROOKLYN,FRANKLIN AVE,1927,6,303
ipu4-2q9a,7,BROOKLYN,BAY 10 ST,6460,310,311
ipu4-2q9a,8,LIC,WEST 17 ST,741,10,104
ipu4-2q9a,9,BROOKLYN,EAST 26 ST,6832,64,315
ipu4-2q9a,10,BROOKLYN,60 ST,5519,34,312
ipu4-2q9a,11,BROOKLYN,BAY 34 ST,6861,67,311
ipu4-2q9a,12,ROCKAWAY POINT,BEACH 215 ST,16350,400,414
ipu4-2q9a,13,LIC,RALPH AVE,1518,1,303
ipu4-2q9a,14,MANHATTAN,RIVINGTON ST,411,7501,103
ipu4-2q9a,15,BROOKLYN,SHARON ST,2913,26,301
ipu4-2q9a,16,JAMAICA,BROADWAY,531,3,102
ipu4-2q9a,17,NEW YORK,23 ST,646,64,307
ipu4-2q9a,18,JAMAICA,BROADWAY,531,3,102
ipu4-2q9a,19,BROOKLYN,FRONT ST,45,25,302
ipu4-2q9a,20,BROOKLYN,SNYDER AVE,5108,54,317
ipu4-2q9a,21,NEW YORK,EAST 28 ST,857,24,105
ipu4-2q9a,22,STATEN ISLAND,MAIN ST,8028,75,503
ipu4-2q9a,23,NEW YORK,EAST 28 ST,857,24,105
ipu4-2q9a,24,MANHATTAN,WEST 75 ST,1147,8,107
ipu4-2q9a,25,NEW HYDE PARK,HYLAN BLVD,3969,1,502
ipu4-2q9a,26,BROOKLYN,OCEAN PKWY,7239,1,313
ipu4-2q9a,27,NEW YORK,EAST 28 ST,857,24,105
ipu4-2q9a,28,LIC,RESERVOIR AVE,3247,70,207
ipu4-2q9a,29,NEW YORK,EAST 27 ST,883,14,105
ipu4-2q9a,30,BROOKLYN,EAST 12 ST,439,26,103
ipu4-2q9a,31,L.I.C.,JEROME AVE,3188,14,205
ipu4-2q9a,32,LIC,RESERVOIR AVE,3247,70,207
ipu4-2q9a,33,FAR ROCKAWAY,HEALY AVE,15722,41,414
ipu4-2q9a,34,BROOKLYN,SCHERMERHORN ST,166,51,302
ipu4-2q9a,35,BROOKLYN,SCHERMERHORN ST,166,51,302
ipu4-2q9a,36,BROOKLYN,EAST 84 ST,7962,85,318
ipu4-2q9a,37,NEW YORK,1 AVE,1338,30,106
ipu4-2q9a,38,BROOKLYN,SCHERMERHORN ST,166,51,302
ipu4-2q9a,39,BROOKLYN,SCHERMERHORN ST,166,51,302
ipu4-2q9a,40,BROOKLYN,GLEN ST,4168,22,305
ipu4-2q9a,41,NEW YORK,3 AVE,1329,1,106
ipu4-2q9a,42,NEW YORK,7 AVE,803,7502,105
ipu4-2q9a,43,NEW YORK,CENTRAL RD,1819,203,111
ipu4-2q9a,44,BROOKLYN,AVENUE O,6603,2,311
ipu4-2q9a,45,NEW YORK,EAST 75 ST,1409,40,108
ipu4-2q9a,46,NEW YORK,10 AVE,1051,7502,104
ipu4-2q9a,47,NY,EAST 10 ST,555,1,102
ipu4-2q9a,48,NEW YORK,RIVERSIDE DR,1889,40,107
ipu4-2q9a,49,NEW YORK,YORK AVE,1462,5,108
ipu4-2q9a,50,BROOKLYN,AVENUE L,8244,1,318
ipu4-2q9a,51,NEW YORK,5 AVE,1269,41,105
ipu4-2q9a,52,BROOKLYN,CLINTON ST,255,25,302
ipu4-2q9a,53,JERSEY CITY,WEST ST,16,260,101
ipu4-2q9a,54,NEW YORK,3 AVE,1320,46,106
ipu4-2q9a,55,NEW YORK,WEST 46 ST,1094,18,104
ipu4-2q9a,56,L.I.C.,JEROME AVE,3247,170,207
ipu4-2q9a,57,BROOKLYN,54 ST,5677,15,312
ipu4-2q9a,58,BRONX,PRATT AVE,4941,30,212
ipu4-2q9a,59,LIC NY,EAST 145 ST,2306,54,201
ipu4-2q9a,60,ROSLYN,LEXINGTON AVE,1798,77,303
ipu4-2q9a,61,BRONX,EAST 149 ST,2335,16,201
ipu4-2q9a,62,LAS VEGAS,2 AVE,1326,22,106
ipu4-2q9a,63,NEW YORK,GATES AVE,3342,1,304
ipu4-2q9a,64,NEW YORK,GATES AVE,3342,1,304
ipu4-2q9a,65,MANHATTAN,WEST 75 ST,1147,111,107
ipu4-2q9a,66,BRONX,KATONAH AVE,3385,1,212
ipu4-2q9a,67,NEW YORK,EAST 31 ST,860,49,105
ipu4-2q9a,68,ROSLYN,LEXINGTON AVE,1802,51,303
ipu4-2q9a,69,NEW YORK,PALMETTO ST,3342,1,304
ipu4-2q9a,70,NEW YORK,WEST 62 ST,1114,7502,107
ipu4-2q9a,71,BRONX,DE REIMER AVE,5020,76,212
ipu4-2q9a,72,NEW YORK,PALMETTO ST,3351,1,304
ipu4-2q9a,73,ROSLYN,LEXINGTON AVE,1798,20,303
ipu4-2q9a,74,BROOKLYN,HENDRIX ST,4074,36,305
ipu4-2q9a,75,BROOKLYN,WEST 34 ST,784,12,105
ipu4-2q9a,76,NEW YORK,ROCKEFELLER PLZ,1266,1,105
ipu4-2q9a,77,BROOKLYN,EAST 1 ST,7104,202,315
ipu4-2q9a,78,BROOKLYN,EAST 95 ST,8221,61,318
ipu4-2q9a,79,BRONX,AMUNDSON AVE,4988,66,212
ipu4-2q9a,80,BROOKLYN,TROUTMAN ST,3170,41,304
ipu4-2q9a,81,NEW YORK,WEST 75 ST,1167,7501,107
ipu4-2q9a,82,NY,WEST 58 ST,1010,61,105
ipu4-2q9a,83,NEW YORK,5 AVE,569,5,102
ipu4-2q9a,84,BROOKLYN,LORIMER ST,2747,3,301
ipu4-2q9a,85,NEW YORK,RIVERSIDE DR,1185,1,107
ipu4-2q9a,86,BROOKLYN,SHEEPSHEAD BAY RD,8771,119,315
ipu4-2q9a,87,BK,7 AVE,1108,3,307
ipu4-2q9a,88,BRONX,CASTLE HILL AVE,3510,158,209
ipu4-2q9a,89,NEW YORK,WEST 52 ST,1061,7502,104
ipu4-2q9a,90,NEW YORK,WEST 225 ST,2215,42,208
ipu4-2q9a,91,NEW YORK,5 AVE,1289,72,105
ipu4-2q9a,92,BROOKLYN,SAINT MARKS PLACE,395,30,302
ipu4-2q9a,93,NEW YORK,WEST 66 ST,1137,7501,107
ipu4-2q9a,94,LONG ISLAND CITY,MERCER ST,524,66,102
ipu4-2q9a,95,BK,RALPH AVE,1508,1,303
ipu4-2q9a,96,BROOKLYN,WATER ST,35,7501,302
ipu4-2q9a,97,BROOKLYN,HILLSIDE AVE,2171,1,112
ipu4-2q9a,98,BROOKLYN,HART ST,1596,14,303
ipu4-2q9a,99,NEW YORK,9 AVE,713,1,104
ipu4-2q9a,100,NEW YORK,PARK AVE,1493,7504,108
ipu4-2q9a,101,SECAUCUS,MADISON AVE,1375,49,108
ipu4-2q9a,102,BROOKLYN,RALPH AVE,1508,1,303
ipu4-2q9a,103,BROOKLYN,SARATOGA AVE,3554,125,316
ipu4-2q9a,104,BROOKLYN,WEST 40 ST,789,44,105
ipu4-2q9a,105,NEW YORK,5 AVE,573,43,102
ipu4-2q9a,106,NEW YORK,EAST 66 ST,1381,1,108
ipu4-2q9a,107,NEW YORK,PARK AVE,1501,40,108
ipu4-2q9a,108,QUEENS,NORTHERN BLVD,1701,76,403
ipu4-2q9a,109,NEW YORK,EAST 74 ST,1449,20,108
ipu4-2q9a,110,NEW YORK,EAST 74 ST,1449,20,108
ipu4-2q9a,111,NEW YORK,WEST END AVE,1158,7504,107
ipu4-2q9a,112,NEW YORK,HOWARD ST,208,19,102
ipu4-2q9a,113,NEW YORK,SHERMAN AVE,2222,7,112
ipu4-2q9a,114,BROOKLYN,MANHATTAN AVE,7024,71,313
ipu4-2q9a,115,BROOKLYN,ALBERMARLE RD,5111,46,317
ipu4-2q9a,116,NEW YORK,EDGECOMBE AVE,2108,27,112
ipu4-2q9a,117,NEW YORK,MAPES AVE,3110,26,206
ipu4-2q9a,118,NEW YORK,EAST 85 ST,1514,8,108
ipu4-2q9a,119,NEW YORK,MAPES AVE,3110,26,206
ipu4-2q9a,120,NEW YORK,CANAL ST,594,8,102
ipu4-2q9a,121,NEW YORK,EAST 24 ST,930,1,106
ipu4-2q9a,122,NEW YORK,EAST 110 ST,1701,1,111
ipu4-2q9a,123,NEW YORK,1 AVE,1701,1,111
ipu4-2q9a,124,BROOKLYN,MACON ST,1673,45,303
ipu4-2q9a,125,NEW YORK,WILLIAM ST,68,7502,101
ipu4-2q9a,126,BROOKLYN,CLARENDON RD,4948,7,317
ipu4-2q9a,127,NEW YORK,WILLIAM ST,93,1,101
ipu4-2q9a,128,NEW YORK,MAPES AVE,3110,26,206
ipu4-2q9a,129,BROOKLYN,MANHATTAN AVE,7024,71,313
ipu4-2q9a,130,NEW YORK,IRVING PLACE,870,7501,105
ipu4-2q9a,131,QUEENS,133 AVE,11766,1,410
ipu4-2q9a,132,BROOKLYN,EAST 52 ST,4773,58,317
ipu4-2q9a,133,BROOKLYN,91,6082,32,310
ipu4-2q9a,134,NEW YORK,EAST 84 ST,1513,20,108
ipu4-2q9a,135,NEW YORK,WILLOUGHBY ST,2061,60,302
ipu4-2q9a,136,QUEENS,PARK AVE,3029,61,206
ipu4-2q9a,137,L.I.C.,36 ST,652,35,401
ipu4-2q9a,138,NEW YORK,PALADINO AVE,1808,1,111
ipu4-2q9a,139,QUEENS,196 ST,10863,47,412
ipu4-2q9a,140,STATEN ISLAND,83 ST,6319,60,311
ipu4-2q9a,141,NEW YORK,MADISON AVE,1290,52,105
ipu4-2q9a,142,STATEN ISLAND,83 ST,6319,60,311
ipu4-2q9a,143,BRONX,SHERMAN AVE,2447,1,204
ipu4-2q9a,144,NEW YORK,COLUMBIA ST,591,1,306
ipu4-2q9a,145,BROOKLYN,EAST 26 ST,6831,21,315
ipu4-2q9a,146,KATONAH,KENT AVE,2134,7503,301
ipu4-2q9a,147,QUEENS,185 ST,13055,69,412
ipu4-2q9a,148,NEW YORK,MADISON AVE,1290,52,105
ipu4-2q9a,149,ROSLYN,TOMPKINS AVE,1799,44,303
ipu4-2q9a,150,ROSLYN HEIGHTS,CASTLEHILL AVE,3966,8,210
ipu4-2q9a,151,LONG ISLAND CITY,WEST 28 ST,778,18,105
ipu4-2q9a,152,BROOKLYN,PACIFIC ST,1208,34,308
ipu4-2q9a,153,MANHATTAN,RECTOR PLACE,16,7507,101
ipu4-2q9a,154,NEW YORK,WEST 14 ST,764,10,104
ipu4-2q9a,155,L.I.C.,102 ST,2128,14,406
ipu4-2q9a,156,NEW YORK,WEST 14 ST,764,10,104
ipu4-2q9a,157,ENGLEWOOD CLIFF,WEST 125 ST,1909,33,110
ipu4-2q9a,158,NEW YORK,BROADWAY,529,1,102
ipu4-2q9a,159,NEW YORK,BROADWAY,14228,771,410
ipu4-2q9a,160,BROOKLYN,EAST 38 ST,8537,67,318
ipu4-2q9a,161,NEW YORK,WEST 29 ST,701,24,104
ipu4-2q9a,162,BROOKLYN,EAST 34 ST,914,59,106
ipu4-2q9a,163,NEW YORK,LINCOLN CENTER PLZ,1134,1,107
ipu4-2q9a,164,NEW YORK,163 RD,14243,1219,410
ipu4-2q9a,165,BROOKLYN,AVENUE A,438,27,103
ipu4-2q9a,166,NEW YORK,EAST 18 ST,5149,1,314
ipu4-2q9a,167,STATEN ISLAND,STARBUCK ST,626,43,501
ipu4-2q9a,168,NEW YORK,MENAHAN ST,3315,1,304
ipu4-2q9a,169,NEW YORK,WEST 168 ST,2138,40,112
ipu4-2q9a,170,STATEN ISLAND,LISBON PLACE,3581,11,502
ipu4-2q9a,171,ROSLYN,LEXINGTON AVE,1804,10,303
ipu4-2q9a,172,BROOKLYN,10 AVE,6011,35,310
ipu4-2q9a,173,NEW YORK,NOEL RD,15456,15,414
ipu4-2q9a,174,BROOKLYN,53 ST,5661,56,312
iz2q-9x8d,1,BROOKLYN,SCHERMERHORN ST,271,47,302
kfp4-dz4h,1,LONG ISLAND CITY,KENT AVE,2414,2,
kfp4-dz4h,2,NEW YORK,BOND ST,430,40,
kfp4-dz4h,3,BRONX,WEST BROADWAY,537,7502,
kyvb-rbwd,1,FLUSHING,75 AVE .,6682,52,
kyvb-rbwd,2,BROOKLYN,78 ST .,6260,19,
kyvb-rbwd,3,JAMAICA,ATLANTIC AVE .,9393,6,
kyvb-rbwd,4,BROOKLYN,85 ST,6035,6,
kyvb-rbwd,5,BRONX,LYON AVE .,3965,18,
kyvb-rbwd,6,FLUSHING,75 AVE .,6682,54,
kyvb-rbwd,7,BROOKLYN,EAST . 54 ST .,4659,12,
kyvb-rbwd,8,BROOKLYN,WEST . 10 ST .,6647,72,
kyvb-rbwd,9,BROOKLYN,WEST . 10 ST .,6647,71,
kyvb-rbwd,10,STATEN ISLAND,LEVERETT AVE .,5491,282,
kyvb-rbwd,11,STATEN ISLAND,MCARTHUR AVE .,5680,212,
kyvb-rbwd,12,BROOKLYN,HOYT ST .,422,143,
kyvb-rbwd,13,BROOKLYN,47 ST .,767,32,
kyvb-rbwd,14,NEW YORK,WEST 55 ST,1008,15,
kyvb-rbwd,15,LONG ISLAND CITY,42 ST,692,15,
kyvb-rbwd,16,BRONX,HOMER AVE .,3608,69,
kyvb-rbwd,17,BRONX,BRADY AVE .,4295,23,
nyis-y4yr,1,BROOKLYN,53 ST,5665,14,312
nyis-y4yr,2,QUEENS,59 AVE,1861,10,404
nyis-y4yr,3,NEW YORK,BROADWAY,63,16,101
nyis-y4yr,4,BROOKLYN,VAN DAM ST,299,22,402
nyis-y4yr,5,NEW YORK,BROADWAY,810,40,105
nyis-y4yr,6,NEW YORK,21 ST,442,18,402
nyis-y4yr,7,NEW YORK,8 AVE,785,1,105
nyis-y4yr,8,NEW YORK,10 AVE,687,29,104
nyis-y4yr,9,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,10,NEW YORK,10 AVE,687,29,104
nyis-y4yr,11,BROOKLYN,3 AVE,679,1,307
nyis-y4yr,12,CORAL GABLES,COLLEGE POINT BLVD,4357,100,407
nyis-y4yr,13,NEW YORK,MADISON AVE,1381,7502,108
nyis-y4yr,14,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,15,NEW YORK,LEXINGTON AVE,1301,23,106
nyis-y4yr,16,LIC,WHITESTONE EXPY,4363,100,407
nyis-y4yr,17,CORAL GABLES,COLLEGE POINT BLVD,4357,100,407
nyis-y4yr,18,STATEN ISLAND,RICHMOND AVE,2400,180,502
nyis-y4yr,19,NEW YORK,EAST 161 ST,2443,90,204
nyis-y4yr,20,BROOKLYN,FLATBUSH AVE,1164,6,308
nyis-y4yr,21,NEW YORK,10 AVE,687,29,104
nyis-y4yr,22,NEW YORK,10 AVE,687,29,104
nyis-y4yr,23,STATEN ISLAND,RICHMOND VALLEY RD,7580,21,503
nyis-y4yr,24,BROOKLYN,EAST 138 ST,2550,19,201
nyis-y4yr,25,NEW YORK,LEXINGTON AVE,1301,23,106
nyis-y4yr,26,QUEENS,ROCKAWAY BLVD,11679,9,410
nyis-y4yr,27,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,28,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,29,BROOKLYN,FULTON ST,4124,52,305
nyis-y4yr,30,NEW YORK,10 AVE,687,29,104
nyis-y4yr,31,NEW YORK,21 ST,442,18,402
nyis-y4yr,32,BROOKLYN,EAST 138 ST,2550,19,201
nyis-y4yr,33,HOUSTON,WEST 34 ST,836,7,105
nyis-y4yr,34,NEW YORK,WEST 37 ST,812,68,105
nyis-y4yr,35,WOODHAVEN,JAMAICA AVE,8914,21,409
nyis-y4yr,36,BROOKLYN,GUERNSEY ST,2643,27,301
nyis-y4yr,37,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,38,NEW YORK,1 AVE,1472,47,108
nyis-y4yr,39,DOUGLASTON,DOUGLASTON PKWY,8111,110,411
nyis-y4yr,40,LIC,WHITESTONE EXPY,4363,100,407
nyis-y4yr,41,NEW YORK,10 AVE,687,29,104
nyis-y4yr,42,NEW YORK,21 ST,442,18,402
nyis-y4yr,43,VASHON,WHITE PLAINS RD,4318,20,211
nyis-y4yr,44,NEW YORK,CROSS BAY BLVD,14030,6,410
nyis-y4yr,45,NEW YORK,WEST 234 ST,5755,41,208
nyis-y4yr,46,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,47,WOODHAVEN,JAMAICA AVE,8914,21,409
nyis-y4yr,48,CORAL GABLES,COLLEGE POINT BLVD,4357,100,407
nyis-y4yr,49,GLENDALE,COOPER AVE,3810,350,405
nyis-y4yr,50,LIC,WHITESTONE EXPY,4363,100,407
nyis-y4yr,51,NEW YORK,10 AVE,687,29,104
nyis-y4yr,52,STATEN ISLAND,SOUTH BRIDGE ST,7584,150,503
nyis-y4yr,53,HAWTHORNE,JAMAICA AVE,9761,1,412
nyis-y4yr,54,VASHON,WHITE PLAINS RD,4318,20,211
nyis-y4yr,55,NEW YORK,21 ST,442,18,402
nyis-y4yr,56,CORAL GABLES,COLLEGE POINT BLVD,4357,100,407
nyis-y4yr,57,HAWTHORNE,JAMAICA AVE,9761,1,412
nyis-y4yr,58,NEW YORK,10 AVE,687,29,104
nyis-y4yr,59,BROOKLYN,SACKETT ST,426,41,306
nyis-y4yr,60,NEW YORK,MADISON AVE,1381,7502,108
nyis-y4yr,61,QUEENS,ROCKAWAY BLVD,11679,9,410
nyis-y4yr,62,NEW YORK,10 AVE,687,29,104
nyis-y4yr,63,QUEENS,ROCKAWAY BLVD,11679,9,410
nyis-y4yr,64,BROOKLYN,PARKSIDE AVE,5052,27,314
nyis-y4yr,65,NEW YORK,WEST 21 ST,823,7507,105
nyis-y4yr,66,NEW YORK,BROADWAY,2163,53,112
nyis-y4yr,67,NEW YORK,3 AVE,1317,1,106
nyis-y4yr,68,MONROE TWP,ELIOT AVE,2916,30,405
uxsz-6j5j,1,BROOKLYN,,,,
w9ak-ipjda,1,NEW YORK,6 AVE,1264,5,105
w9ak-ipjda,2,L.I.C.,OCEAN TER,683,1,502
w9ak-ipjda,3,BROOKLYN,3 AVE,6133,56,310
w9ak-ipjda,4,BROOKLYN,LOTT ST,5136,58,317
w9ak-ipjda,5,BROOKLYN,AVENUE N,7665,4,314
w9ak-ipjda,6,BROOKLYN,FRANKLIN AVE,1927,6,303
w9ak-ipjda,7,BROOKLYN,BAY 10 ST,6460,310,311
w9ak-ipjda,8,LIC,WEST 17 ST,741,10,104
w9ak-ipjda,9,BROOKLYN,EAST 26 ST,6832,64,315
w9ak-ipjda,10,BROOKLYN,60 ST,5519,34,312
w9ak-ipjda,11,BROOKLYN,BAY 34 ST,6861,67,311
w9ak-ipjda,12,ROCKAWAY POINT,BEACH 215 ST,16350,400,414